name,deltaG,SMILES
pubchem_346,-11.93,Cc1nc(-c2cccc(NC(=O)COc3ccccc3Cc3ccccc3)c2)n[nH]1
pubchem_1646,-11.72,O=C(Cn1c(=O)oc2ccccc21)NCc1nncn1CCc1ccccc1
pubchem_1713,-11.65,Cc1nc(-c2cccc(NC(=O)CCc3cccc(OC4CCCC4)c3)c2)n[nH]1
pubchem_1633,-11.47,O=C(Cn1c(=O)oc2ccccc21)N1CCC(Cc2nc(C3CC3)n[nH]2)CC1
pubchem_1220,-11.44,O=C(Nc1ccccc1OCc1ccccc1)c1nnnn1Cc1ccccc1
pubchem_1268,-11.44,CCOc1ccc(NC(=O)CN2CC(c3nc(Cc4ccccc4)no3)C2)cc1
pubchem_173,-11.39,O=C(CCn1c(=O)oc2ccccc21)Nc1cccc(-c2n[nH]c(C3CC3)n2)c1
pubchem_480,-11.25,COc1cccc(-c2ccc(N3CCC(NCCc4n[nH]c(C)n4)CC3)cc2)c1
pubchem_223,-11.24,O=C(Nc1cccc(-c2n[nH]c(C3CC3)n2)c1)C1=Cc2ccccc2OC1
pubchem_785,-11.21,Cc1ccc2oc(=O)n(CCc3n[nH]c(CCc4ccccc4)n3)c2c1
pubchem_1632,-11.2,Cc1cccc(OCC(=O)Nc2cccc(-c3nnc4n3CCCC4)c2)c1
pubchem_1588,-11.16,Cc1ccc(Oc2ccccc2NC(=O)NCc2nncn2-c2ccccc2)cc1
pubchem_948,-11.15,Cc1ccc(OCCC(=O)Nc2ccc(-c3n[nH]c(C4CC4)n3)cc2)c(C)c1
pubchem_1935,-11.15,O=C(COc1ccccc1)NCC(=O)Nc1cccc(-c2nnnn2C2CC2)c1
pubchem_1937,-11.14,Cc1ccc(-n2nnnc2CNC(=O)COc2ccc(C(C)C)cc2)cc1
pubchem_547,-11.1,CC(C)c1ccc(OCC(=O)NCc2nnnn2-c2ccccc2)cc1
pubchem_840,-11.1,COc1ccc(C(=O)Nc2n[nH]c(CC3CCCCC3)n2)cc1N1CCOCC1
pubchem_797,-11.05,Cc1cccc(C)c1OCC(=O)Nc1cccc(-c2n[nH]c(C3CC3)n2)c1
pubchem_880,-11.05,O=C(CCOc1ccccc1)Nc1cccc(-c2nnnn2C2CC2)c1
pubchem_1964,-11.04,Cc1ccc(OCCC(=O)Nc2cccc(-c3n[nH]c(C4CC4)n3)c2)c(C)c1
pubchem_583,-10.99,Cc1cc(C)cc(NC(=O)CSc2n[nH]c(COc3cccc(C)c3)n2)c1
pubchem_243,-10.98,CCOc1ccc(NC(=O)CSc2nnc(C)n2CCc2ccccc2)cc1
pubchem_796,-10.96,Cc1cccc(OCCCC(=O)Nc2cccc(-c3n[nH]c(C4CC4)n3)c2)c1
pubchem_525,-10.95,Cc1ccccc1OCc1nc(SCC(=O)N2CCCc3ccccc32)n[nH]1
pubchem_945,-10.95,Cc1nc(C(=O)NCCOc2cccc3ccccc23)nn1-c1ccc(F)cc1
pubchem_197,-10.91,CCOc1ccc(-n2nnnc2CNC(=O)CCc2ccccc2)cc1
pubchem_768,-10.91,CCOc1ccc(-n2nnnc2CNC(=O)/C=C\c2ccccc2)cc1
pubchem_137,-10.9,CCOc1ccccc1NC(=O)NCc1nnnn1-c1ccc(C)c(C)c1
pubchem_1370,-10.9,CCc1nc(-c2cccc(Nc3ccc(OCCN4CCCC4)cc3)c2)n[nH]1
pubchem_1534,-10.89,COc1ccc(C(C)(C)CNC(=O)c2nc(C3CC3)n(-c3ccccc3)n2)cc1
pubchem_1590,-10.89,Cc1cccc(OCC(=O)Nc2ccc(-c3nnc4n3CCCC4)cc2)c1
pubchem_1943,-10.87,COc1ccc(-n2ccn3c(CCC(=O)Nc4ccccc4)nnc3c2=O)cc1
pubchem_737,-10.86,Cc1ccccc1OCc1nc(SCC(=O)N2CCc3ccccc32)n[nH]1
pubchem_888,-10.86,CCOc1ccc(-n2nnnc2CNC(=O)CCCc2ccccc2)cc1
pubchem_923,-10.86,COc1ccccc1NC(=O)Cc1noc(CN(C)Cc2ccc(C)cc2)n1
pubchem_2059,-10.84,Cc1ccc(C(C)C)c(OCC(=O)Nc2cccc(-c3n[nH]c(C)n3)c2)c1
pubchem_340,-10.83,COc1ccc(NC(=O)N2CCC(c3nc(-c4ccccc4)n[nH]3)CC2)cc1
pubchem_168,-10.82,CCOc1ccccc1-n1ccn(Cc2nc(-c3ccccc3)no2)c(=O)c1=O
pubchem_253,-10.8,Cc1ccccc1OCc1nc(SCC(=O)N(c2ccccc2)C(C)C)n[nH]1
pubchem_798,-10.8,Cc1nc(-c2ccc(NC(=O)CCc3cccc(OC4CCCC4)c3)cc2)n[nH]1
pubchem_1829,-10.8,CCOc1ccccc1NC(=O)N1CC(n2cnnc2-c2ccccc2)C1
pubchem_1886,-10.8,Cc1cccc(OCCNC(=O)CNc2cccc(-c3nnnn3C3CC3)c2)c1
pubchem_464,-10.79,CCOc1ccccc1NC(=O)CSc1nnc(CC2CCCCC2)n1C
pubchem_1107,-10.79,O=C(CNc1cccc(-c2nnnn2C2CC2)c1)NCCOc1ccccc1
pubchem_23,-10.78,Cc1ccccc1OCCN(C)C(=O)c1nc(C)n(-c2ccc(Cl)cc2)n1
pubchem_205,-10.78,CCn1cnnc1-c1cccc(NC(=O)C2=Cc3ccccc3OC2)c1
pubchem_1405,-10.78,CCc1ccc(NC(=O)COc2cccc(-c3nnc4n3CCCC4)c2)cc1
pubchem_1994,-10.77,Cc1cccc(Oc2ccc(NC(=O)N3CCC(c4ncn[nH]4)CC3)cc2)c1
pubchem_397,-10.75,CCc1ccccc1NC(=O)CSc1nnc(COc2ccc(C)cc2)n1C
pubchem_420,-10.75,COc1cccc(NC(=O)c2nc(Cc3ccccc3)n(-c3ccccc3)n2)c1
pubchem_704,-10.74,Cc1cc(OCC(=O)NCc2nncn2-c2ccccc2)ccc1C(C)C
pubchem_1146,-10.74,COc1ccc(Cc2nc(NC(=O)c3cc(=O)n(C)c4ccccc34)n[nH]2)cc1
pubchem_471,-10.73,CCc1ccccc1NC(=O)CSc1n[nH]c(COc2ccc(C)cc2)n1
pubchem_581,-10.73,C=CCn1c(COc2ccc(C)cc2)nnc1SCC(=O)Nc1ccccc1
pubchem_705,-10.73,CCc1nc(-c2cccc(NC(=O)CN3C(=O)COc4ccccc43)c2)no1
pubchem_2043,-10.73,COc1ccc(NCc2nc(-c3ccc(C(C)(C)C)cc3)n[nH]2)cc1
